,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",118.53B,3.95%,11816106,28.11B
1,SO,The Southern Company,75.66B,1.15%,2515280,25.25B
2,DUK,Duke Energy Corporation,73.23B,0.84%,1716979,29.06B
3,CEG,Constellation Energy Corporation,53.32B,0.35%,754112,24.92B
4,NGG,National Grid plc,50.09B,0.51%,150334,26.10B
5,SRE,Sempra,45.25B,0.30%,791629,16.72B
6,AEP,"American Electric Power Company, Inc.",43.88B,-0.23%,1409729,18.98B
7,PCG,PG&E Corporation,42.62B,0.83%,5418924,24.43B
8,D,"Dominion Energy, Inc.",39.34B,2.04%,2227226,14.39B
9,EXC,Exelon Corporation,36.99B,0.22%,2618476,21.73B
10,PEG,Public Service Enterprise Group Incorporated,31.91B,0.05%,1166342,11.24B
11,ED,"Consolidated Edison, Inc.",31.07B,-0.35%,857779,14.66B
12,XEL,Xcel Energy Inc.,28.81B,-0.10%,2060671,14.21B
13,EIX,Edison International,26.71B,0.25%,637831,16.34B
14,WEC,"WEC Energy Group, Inc.",25.56B,-0.21%,597449,8.89B
15,DTE,DTE Energy Company,23.37B,0.19%,528218,12.75B
16,AWK,"American Water Works Company, Inc.",23.21B,1.63%,639290,4.23B
17,ETR,Entergy Corporation,21.87B,0.27%,437871,12.15B
18,FE,FirstEnergy Corp.,21.77B,0.29%,1063695,12.87B
19,ES,Eversource Energy,20.87B,-1.55%,1722888,11.91B
20,VST,Vistra Corp.,20.83B,2.13%,2978080,14.78B
21,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,20.44B,-0.23%,1195200,6.75B
22,ELPC,Cia Paranaense De Energia Copel,19.92B,0.14%,3655,4.15B
23,PPL,PPL Corporation,19.86B,0.02%,2008230,8.31B
24,FTS,Fortis Inc.,19.47B,-0.31%,295499,8.66B
25,AEE,Ameren Corporation,19.26B,-0.30%,462087,7.50B
26,CNP,"CenterPoint Energy, Inc.",17.77B,-0.18%,1879404,8.70B
27,ATO,Atmos Energy Corporation,17.58B,0.03%,341043,3.95B
28,CMS,CMS Energy Corporation,17.50B,-0.69%,1142981,7.46B
29,BEP,Brookfield Renewable Partners L.P.,15.35B,-0.22%,243270,5.04B
30,AGR,"Avangrid, Inc.",13.85B,-1.17%,840007,8.31B
31,BIP,Brookfield Infrastructure Partners L.P.,13.77B,0.29%,158367,17.93B
32,NRG,"NRG Energy, Inc.",12.96B,0.97%,3036122,28.82B
33,LNT,Alliant Energy Corporation,12.49B,0.43%,771301,4.03B
34,NI,NiSource Inc.,12.00B,-0.15%,1979132,5.51B
35,EVRG,"Evergy, Inc.",11.78B,0.59%,1365243,5.51B
36,KEP,Korea Electric Power Corporation,11.72B,0.93%,92121,55.94B
37,AES,The AES Corporation,11.32B,-0.63%,6744603,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,11.00B,-0.03%,1016601,4.17B
39,WTRG,"Essential Utilities, Inc.",9.79B,2.00%,970654,2.05B
40,PNW,Pinnacle West Capital Corporation,8.03B,1.16%,529447,4.70B
41,OGE,OGE Energy Corp.,6.84B,0.36%,677911,2.67B
42,NFE,New Fortress Energy Inc.,6.69B,1.33%,814454,2.41B
43,ELP,Cia Paranaense De Energia Copel,5.99B,-0.31%,85100,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.64B,-1.05%,1246628,6.51B
45,UGI,UGI Corporation,5.35B,-,659653,8.29B
46,SWX,"Southwest Gas Holdings, Inc.",5.26B,-1.72%,356862,5.43B
47,IDA,"IDACORP, Inc.",4.62B,-0.53%,187580,1.77B
48,BIPC,Brookfield Infrastructure Corporation,4.61B,0.82%,197764,2.08B
49,BEPC,Brookfield Renewable Corporation,4.47B,-0.14%,536119,4.55B
50,AQN,Algonquin Power & Utilities Corp.,4.31B,-2.00%,3544624,2.70B
51,CWEN,"Clearway Energy, Inc.",4.29B,-0.87%,539714,1.31B
52,ENIC,Enel Chile S.A.,4.28B,-0.66%,204346,5.83B
53,POR,Portland General Electric Company,4.21B,-0.65%,256977,2.92B
54,NJR,New Jersey Resources Corporation,4.20B,-0.40%,148769,1.71B
55,ORA,"Ormat Technologies, Inc.",3.95B,-1.17%,115818,829.42M
56,BKH,Black Hills Corporation,3.68B,-0.51%,255796,2.33B
57,OGS,"ONE Gas, Inc.",3.57B,-0.51%,148783,2.37B
58,OTTR,Otter Tail Corporation,3.43B,0.62%,203978,1.35B
59,PNM,"PNM Resources, Inc.",3.37B,-1.07%,355838,1.94B
60,SR,Spire Inc.,3.37B,-0.21%,182376,2.61B
61,ALE,"ALLETE, Inc.",3.33B,0.31%,104105,1.88B
62,NWE,NorthWestern Corporation,3.04B,-,147430,1.42B
63,MGEE,"MGE Energy, Inc.",2.81B,-1.82%,518777,690.43M
64,CWT,California Water Service Group,2.71B,0.15%,121768,794.63M
65,FLNC,"Fluence Energy, Inc.",2.71B,-4.88%,1042820,2.27B
66,AWR,American States Water Company,2.70B,0.47%,83451,595.70M
67,AVA,Avista Corporation,2.69B,-0.55%,139088,1.75B
68,NEP,"NextEra Energy Partners, LP",2.69B,-0.03%,563359,1.08B
69,PAM,Pampa Energía S.A.,2.60B,1.35%,323025,1.83B
70,RNW,ReNew Energy Global Plc,2.37B,-1.54%,383065,1.18B
71,CPK,Chesapeake Utilities Corporation,2.34B,0.57%,39842,670.60M
72,AY,Atlantica Sustainable Infrastructure plc,2.04B,0.51%,619924,1.10B
73,ENLT,Enlight Renewable Energy Ltd,2.01B,-1.64%,13918,255.70M
74,TAC,TransAlta Corporation,1.99B,2.16%,541030,2.52B
75,SJW,SJW Group,1.84B,0.78%,59573,670.36M
76,EE,"Excelerate Energy, Inc.",1.73B,1.25%,89231,1.16B
77,CEPU,Central Puerto S.A.,1.51B,3.52%,532009,574.79M
78,NWN,Northwest Natural Holding Company,1.44B,-0.69%,115953,1.20B
79,SPH,"Suburban Propane Partners, L.P.",1.36B,0.43%,80202,1.40B
80,KEN,Kenon Holdings Ltd.,1.32B,-0.54%,3526,685.96M
81,HE,"Hawaiian Electric Industries, Inc.",1.24B,-0.44%,1049592,3.68B
82,AMPS,"Altus Power, Inc.",952.35M,-0.50%,791738,147.73M
83,MSEX,Middlesex Water Company,916.93M,0.77%,51638,166.27M
84,UTL,Unitil Corporation,831.12M,0.87%,23238,557.10M
85,EDN,Empresa Distribuidora y Comercializadora Norte SA,824.07M,-0.12%,97615,1.17B
86,OPAL,OPAL Fuels Inc.,818.78M,3.16%,21052,235.82M
87,ARIS,"Aris Water Solutions, Inc.",746.71M,1.55%,192963,392.12M
88,MNTK,"Montauk Renewables, Inc.",653.66M,4.62%,229023,177.74M
89,YORW,The York Water Company,509.44M,2.03%,40673,71.03M
90,SMR,NuScale Power Corporation,481.38M,12.84%,6021814,21.69M
91,CWCO,Consolidated Water Co. Ltd.,446.28M,0.44%,31652,155.39M
92,GNE,Genie Energy Ltd.,435.90M,0.50%,77308,405.18M
93,ARTNA,Artesian Resources Corporation,370.65M,0.14%,24609,99.43M
94,GWRS,"Global Water Resources, Inc.",302.92M,1.06%,15903,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",259.82M,1.10%,1348852,323.63M
96,PCYO,Pure Cycle Corporation,237.68M,-1.98%,12330,18.63M
97,ELLO,Ellomay Capital Ltd.,218.49M,-2.35%,675,52.91M
98,RGCO,"RGC Resources, Inc.",209.67M,-0.63%,4819,88.58M
99,CDZI,Cadiz Inc.,174.12M,-,68915,1.88M
100,VIA,"Via Renewables, Inc.",78.84M,-0.18%,8516,435.19M
101,VGAS,"Verde Clean Fuels, Inc.",39.05M,5.05%,6288,-
102,ALCE,Alternus Energy Group Plc,38.35M,2.66%,1295600,44.51M
103,HTOO,Fusion Fuel Green PLC,28.22M,-0.30%,114232,-
104,ADN,"Advent Technologies Holdings, Inc.",15.54M,-3.41%,288066,5.31M
105,CREG,Smart Powerr Corp.,10.35M,3.08%,25448,-
106,WAVE,Eco Wave Power Global AB (publ),7.55M,-4.38%,4397,27.00K
107,BNRG,Brenmiller Energy Ltd,6.50M,-1.17%,5105,580.00K
